Budget,Certificate,Country,Director,Genre,Gross,IMDb_Rating,IMDb_Votes,Language,Production_Co,Release_Date,Runtime,Star,Title
48000000,                    PG-13,USA,Steven Spielberg,Action,474171806,8.2,626214,English, Paramount Pictures,24 May 1989 (USA),127 min,Harrison Ford,Indiana Jones and the Last Crusade (1989) 
40000000,                    PG,USA,Robert Zemeckis,Adventure,213500000,7.8,420747,English, Universal Pictures,22 November 1989 (USA),108 min,Michael J. Fox,Back to the Future Part II (1989) 
16400000,                    PG,USA,Peter Weir,Comedy,140000000,8.1,363539,English, Touchstone Pictures,9 June 1989 (USA),128 min,Robin Williams,Dead Poets Society (1989) 
35000000,                    PG-13,USA,Tim Burton,Action,411348924,7.5,310198,English, Warner Bros.,23 June 1989 (USA),126 min,Michael Keaton,Batman (1989) 
40000000,                    G,USA,Ron Clements,Animation,211343479,7.6,210062,English, Walt Disney Pictures,17 November 1989 (USA),83 min,Jodi Benson,The Little Mermaid (1989) 
16000000,                    R,USA,Rob Reiner,Comedy,0,7.6,175771,English, Castle Rock Entertainment,21 July 1989 (USA),95 min,Billy Crystal,When Harry Met Sally... (1989) 
37000000,                    PG,USA,Ivan Reitman,Action,215394738,6.5,166176,English, Columbia Pictures,16 June 1989 (USA),108 min,Bill Murray,Ghostbusters II (1989) 
70000000,                    PG-13,USA,James Cameron,Adventure,90000098,7.6,150094,English, Twentieth Century Fox,9 August 1989 (USA),145 min,Ed Harris,The Abyss (1989) 
28000000,                    R,USA,Richard Donner,Action,227853986,7.2,147798,English, Warner Bros.,7 July 1989 (USA),114 min,Mel Gibson,Lethal Weapon 2 (1989) 
27000000,                    PG-13,USA,Jeremiah S. Chechik,Comedy,0,7.6,133282,English, Warner Bros.,1 December 1989 (USA),97 min,Chevy Chase,National Lampoon's Christmas Vacation (1989) 
18000000,                    PG,USA,Joe Johnston,Adventure,222724172,6.3,128410,English, Walt Disney Pictures,23 June 1989 (USA),93 min,Rick Moranis,"Honey, I Shrunk the Kids (1989) "
18000000,                    R,USA,Edward Zwick,Biography,0,7.9,112526,English, TriStar Pictures,16 February 1990 (USA),122 min,Matthew Broderick,Glory (1989) 
0,                    PG,USA,Phil Alden Robinson,Drama,84431625,7.5,99067,English, Gordon Company,5 May 1989 (USA),107 min,Kevin Costner,Field of Dreams (1989) 
10000000,                    PG,USA,Stephen Herek,Adventure,0,6.9,98697,English, De Laurentiis Entertainment Group (DEG),17 February 1989 (USA),90 min,Keanu Reeves,Bill & Ted's Excellent Adventure (1989) 
0,                    G,Japan,Hayao Miyazaki,Animation,27081851,7.9,97812,Japanese, Kiki's Delivery Service Production Committee,20 December 1990 (USA),103 min,Kirsten Dunst,Kiki's Delivery Service (1989) 
14000000,                    R,USA,Oliver Stone,Biography,161001698,7.2,89263,English, Ixtlan,5 January 1990 (USA),145 min,Tom Cruise,Born on the Fourth of July (1989) 
7500000,                    PG,USA,Bruce Beresford,Drama,145793296,7.4,88231,English, The Zanuck Company,26 January 1990 (USA),99 min,Morgan Freeman,Driving Miss Daisy (1989) 
55000000,                    R,USA,Andrey Konchalovskiy,Action,0,6.4,88077,English, Warner Bros.,22 December 1989 (USA),104 min,Sylvester Stallone,Tango & Cash (1989) 
32000000,                    PG-13,UK,John Glen,Action,156200000,6.6,85405,English, Danjaq,14 July 1989 (USA),133 min,Timothy Dalton,Licence to Kill (1989) 
11500000,                    R,USA,Mary Lambert,Horror,0,6.6,80037,English, Paramount Pictures,21 April 1989 (USA),103 min,Dale Midkiff,Pet Sematary (1989) 
0,                    PG-13,USA,Cameron Crowe,Comedy,0,7.4,75917,English, Gracie Films,14 April 1989 (USA),100 min,John Cusack,Say Anything... (1989) 
15000000,                    PG,USA,John Hughes,Comedy,79258538,7,75305,English, Universal Pictures,16 August 1989 (USA),100 min,John Candy,Uncle Buck (1989) 
6500000,                    R,USA,Spike Lee,Comedy,0,7.9,73944,English, 40 Acres & A Mule Filmworks,21 July 1989 (USA),120 min,Danny Aiello,Do the Right Thing (1989) 
7500000,                    PG-13,USA,Amy Heckerling,Comedy,296999813,5.8,72091,English, TriStar Pictures,13 October 1989 (USA),93 min,John Travolta,Look Who's Talking (1989) 
18000000,                    PG,USA,Joe Dante,Comedy,49102000,6.9,61243,English, Imagine Entertainment,17 February 1989 (USA),101 min,Tom Hanks,The 'Burbs (1989) 
0,                    R,Ireland,Jim Sheridan,Biography,0,7.9,60434,English, Ferndale Films,30 March 1990 (USA),103 min,Daniel Day-Lewis,My Left Foot (1989) 
13000000,                    PG,USA,Roger Spottiswoode,Comedy,0,6.1,57260,English, Touchstone Pictures,28 July 1989 (USA),97 min,Tom Hanks,Turner & Hooch (1989) 
11000000,                    R,USA,David S. Ward,Comedy,0,7.2,55972,English, Mirage Enterprises,7 April 1989 (USA),107 min,Tom Berenger,Major League (1989) 
17000000,                    R,USA,Rowdy Herrington,Action,87945379,6.6,53334,English, Silver Pictures,19 May 1989 (USA),114 min,Patrick Swayze,Road House (1989) 
27800000,                    PG,USA,William Shatner,Action,70210000,5.5,51266,English, Paramount Pictures,9 June 1989 (USA),107 min,William Shatner,Star Trek V: The Final Frontier (1989) 
19000000,                    PG-13,USA,Woody Allen,Comedy,0,8,49958,English, Jack Rollins & Charles H. Joffe Productions,3 November 1989 (USA),104 min,Martin Landau,Crimes and Misdemeanors (1989) 
30000000,                    R,USA,Ridley Scott,Action,134212055,6.6,45187,English, Paramount Pictures,22 September 1989 (USA),125 min,Michael Douglas,Black Rain (1989) 
1500000,                    R,USA,Mark DiSalle,Action,0,6.4,44469,English, Kings Road Entertainment,8 September 1989 (USA),97 min,Jean-Claude Van Damme,Kickboxer (1989) 
1200000,                    R,USA,Steven Soderbergh,Drama,0,7.2,44381,English, Outlaw Productions (I),22 September 1989 (USA),100 min,James Spader,"Sex, Lies, and Videotape (1989) "
26000000,                    R,USA,Danny DeVito,Comedy,160188546,6.8,44116,English, Twentieth Century Fox,8 December 1989 (USA),116 min,Michael Douglas,The War of the Roses (1989) 
